Requirement ,Description ,Guidance,Testing
PCI 01.2.3,"PCI 01.2.3: Install perimeter firewalls between all wireless networks and the cardholder data environment, and configure these firewalls to deny or, if traffic is necessary for business purposes, permit only authorized traffic between the wireless enviro","The known (or unknown) implementation and exploitation of wireless technology within a network is a common path for malicious 
individuals to gain access to the network and cardholder data. If a wireless device or network is 
installed without the entity’s knowledge, amalicious individual could easily and “invisibly” enter the network. If firewalls do not restrict 
access from wireless networks into the CDE, malicious individuals that gain unauthorized access to the wireless network can easily connect to the CDE and compromise account information. 

Firewalls must be installed between all wireless networks and the CDE, regardless of the purpose of the environment to which the wireless network is connected. This may include, but is not limited to, corporate networks, retail stores, guest networks, warehouse environments, etc. ","1.2.3.a Examine firewall and router configurations to verify that there are perimeter firewalls installed between all wireless networks and the cardholder data environment. 

1.2.3.b Verify that the firewalls deny or, if traffic is necessary for business purposes, permit only authorized traffic between 
the wireless environment and the cardholder data environment. "
PCI 01.3.1,"PCI 01.3.1: Implement a DMZ to limit inbound traffic to only system components that provide authorized publicly accessible services, protocols, and ports.","The DMZ is that part of the network that manages connections between the Internet (or other untrusted networks), and services that an 
organization needs to have available to the public (like a web server). 

This functionality is intended to prevent malicious individuals from accessing the organization's internal network from the Internet, or from using services, protocols, or ports in an unauthorized manner. ","1.3.1 Examine firewall and router configurations to verify that a DMZ is implemented to limit inbound traffic to only system components that provide authorized publicly accessible services, protocols, and ports. "
PCI 01.3.2,PCI 01.3.2: Limit inbound Internet traffic to IP addresses within the DMZ.,,"1.3.2 Examine firewall and router configurations to verify that 
inbound Internet traffic is limited to IP addresses within the 
DMZ. "
PCI 01.3.3,PCI 01.3.3: Do not allow any direct connections inbound or outbound for traffic between the Internet and the cardholder data environment.,"Examination of all inbound and outbound connections allows for inspection and restriction of 
traffic based on the source and/or destination address, as well as inspection and blocking of 
unwanted content, thus preventing unfiltered access between untrusted and trusted environments. This helps prevent, for example, malicious individuals from sending data they've 
obtained from within your network out to an external untrusted server in an untrusted network.","1.3.3 Examine firewall and router configurations to verify direct 
connections inbound or outbound are not allowed for traffic 
between the Internet and the cardholder data environment. "
PCI 01.3.4,"PCI 01.3.4: Implement anti-spoofing measures to detect and block forged source IP addresses from entering the network. (For example, block traffic originating from the Internet with an internal source address.)","Normally a packet contains the IP address of the computer that originally sent it so other computers 
in the network know where the packet came from. Malicious individuals will often try to spoof (or imitate) the sending IP address so that the target 
system believes the packet is from a trusted source. 

Filtering packets coming into the network helps to, among other things, ensure packets are not “spoofed” to look like they are coming from an 
organization’s own internal network. ","1.3.4 Examine firewall and router configurations to verify that anti-spoofing measures are implemented, for example internal addresses cannot pass from the Internet into the DMZ."
PCI 01.3.5,PCI 01.3.5: Do not allow unauthorized outbound traffic from the cardholder data environment to the Internet.,"All traffic outbound from the cardholder data environment should be evaluated to ensure that it 
follows established, authorized rules. Connections should be inspected to restrict traffic to only authorized communications (for example by 
restricting source/destination addresses/ports, and/or blocking of content). ",1.3.5 Examine firewall and router configurations to verify that outbound traffic from the cardholder data environment to the Internet is explicitly authorized.
PCI 01.3.6,"PCI 01.3.6: Implement stateful inspection, also known as dynamic packet filtering. (That is, only “established” connections are allowed into the network.)","A firewall that performs stateful packet inspection maintains the ""state"" (or the status) for each 
connection through the firewall. By maintaining the “state,” the firewall knows whether an apparent response to a previous connection is actually a valid, authorized response (since it 
retains each connection’s status) or is malicious traffic trying to trick the firewall into allowing the 
connection. ","1.3.6 Examine firewall and router configurations to verify that the firewall performs stateful inspection (dynamic packet filtering). (Only established connections should be allowed in, 
and only if they are associated with a previously established session.) "
PCI 01.3.7,"PCI 01.3.7: Place system components that store cardholder data (such as a database) in an internal network zone, segregated from the DMZ and other untrusted networks.","If cardholder data is located within the DMZ, it is easier for an external attacker to access this 
information, since there are fewer layers to penetrate. Securing system components that store cardholder data in an internal network zone 
that is segregated from the DMZ and other untrusted networks by a firewall can prevent unauthorized network traffic from reaching the 
system component. 

Note: This requirement is not intended to apply to temporary storage of cardholder data in volatile memory. ","1.3.7 Examine firewall and router configurations to verify that system components that store cardholder data are on an internal network zone, segregated from the DMZ and other untrusted networks. "
PCI 01.3.8,"PCI 01.3.8: Do not disclose private IP addresses and routing information to unauthorized parties. Note: Methods to obscure IP addressing may include, but are not limited to: . Network Address Translation (NAT) . Placing servers containing cardholder d","Restricting the disclosure of internal or private IP addresses is essential to prevent a hacker “learning” the IP addresses of the internal network, and using that information to access the 
network. 

Methods used to meet the intent of this requirement may vary depending on the specific networking technology being used. For example, the controls used to meet this requirement may be 
different for IPv4 networks than for IPv6 networks. ","1.3.8.a Examine firewall and router configurations to verify that methods are in place to prevent the disclosure of private IP addresses and routing information from internal networks to 
the Internet. 

1.3.8.b Interview personnel and examine documentation to verify that any disclosure of private IP addresses and routing information to external entities is authorized. "
PCI 02,PCI 02: Do not use vendor-supplied defaults for system passwords and other security parameters,,
PCI 02.1,"PCI 02.1: Always change vendor-supplied defaults and remove or disable unnecessary default accounts before installing a system on the network. This applies to ALL default passwords, including but not limited to those used by operating systems, software","Malicious individuals (external and internal to an organization) often use vendor default settings, account names, and passwords to compromise operating system software, applications, and the systems on which they are installed. Because these default settings are often published and are well known in hacker communities, changing these settings will leave systems less vulnerable to attack. 

Even if a default account is not intended to be used, changing the default password to a strong unique password and then disabling the account will prevent a malicious individual from re-enabling the account and gaining access with the default password. ","2.1.a Choose a sample of system components, and attempt to log on (with system administrator help) to the devices and applications using default vendor-supplied accounts and passwords, to verify that ALL default passwords (including those on operating systems, software that provides security services, application and system accounts, POS terminals, and Simple Network Management Protocol (SNMP) community strings) have been changed. (Use vendor manuals and sources on the Internet to find vendor-supplied accounts/passwords.) 

2.1.b For the sample of system components, verify that all unnecessary default accounts (including accounts used by operating systems, security software, applications, systems, POS terminals, SNMP, etc.) are removed or disabled. 

2.1.c Interview personnel and examine supporting documentation to verify that: 

. All vendor defaults (including default passwords on operating systems, software providing security services, application and system accounts, POS terminals, Simple Network Management Protocol (SNMP) community strings, etc.) are changed before a system is installed on the network. 
. Unnecessary default accounts (including accounts used by operating systems, security software, applications, systems, POS terminals, SNMP, etc.) are removed or disabled before B2 a system is installed on the network. "
PCI 02.1.1,"PCI 02.1.1: For wireless environments connected to the cardholder data environment or transmitting cardholder data, change ALL wireless vendor defaults at installation, including but not limited to default wireless encryption keys, passwords, and SNMP ...","If wireless networks are not implemented with sufficient security configurations (including changing default settings), wireless sniffers can eavesdrop on the traffic, easily capture data and passwords, and easily enter and attack the network. 

In addition, the key-exchange protocol for older versions of 802.11x encryption (Wired Equivalent Privacy, or WEP) has been broken and can render the encryption useless. Firmware for devices should be updated to support more secure protocols. ","2.1.1.a Interview responsible personnel and examine supporting documentation to verify that: 

. Encryption keys were changed from default at installation 
. Encryption keys are changed anytime anyone with knowledge of the keys leaves the company or changes positions. 

2.1.1.b Interview personnel and examine policies and procedures to verify: 

. Default SNMP community strings are required to be changed upon installation. 
. Default passwords/phrases on access points are required to be changed upon installation. 

2.1.1.c Examine vendor documentation and login to wireless devices, with system administrator help, to verify: 

. Default SNMP community strings are not used. 
. Default passwords/passphrases on access points are not used. 

2.1.1.d Examine vendor documentation and observe wireless configuration settings to verify firmware on wireless devices is updated to support strong encryption for: 

. Authentication over wireless networks 
. Transmission over wireless networks. 

2.1.1.e Examine vendor documentation and observe wireless configuration settings to verify other security-related wireless vendor defaults were changed, if applicable. "
PCI 02.2,PCI 02.2: Develop configuration standards for all system components. Assure that these standards address all known security vulnerabilities and are consistent with industry-accepted system hardening standards. Sources of industry-accepted system harden,"There are known weaknesses with many operating systems, databases, and enterprise applications, and there are also known ways to configure these systems to fix security 
vulnerabilities. To help those that are not security experts, a number of security organizations have 
established system-hardening guidelines and recommendations, which advise how to correct 
these weaknesses. 

Examples of sources for guidance on 
configuration standards include, but are not limited to: www.nist.gov, www.sans.org, and www.cisecurity.org, www.iso.org, and product vendors. 

System configuration standards must be kept up to date to ensure that newly identified weaknesses are corrected prior to a system being 
installed on the network. ","2.2.a Examine the organization’s system configuration standards for all types of system components and verify the system configuration standards are consistent with industryaccepted hardening standards. 

2.2.b Examine policies and interview personnel to verify that system configuration standards are updated as new vulnerability issues are identified, as defined in Requirement 6.1. 

2.2.c Examine policies and interview personnel to verify that system configuration standards are applied when new systems are configured and verified as being in place before a system is installed on the network. 

2.2.d Verify that system configuration standards include the following procedures for all types of system components: 

. Changing of all vendor-supplied defaults and elimination of unnecessary default accounts 
. Implementing only one primary function per server to prevent functions that require different security levels from co-existing on the same server 
. Enabling only necessary services, protocols, daemons, etc., as required for the function of the system 
. Implementing additional security features for any required services, protocols or daemons that are considered to be insecure 
. Configuring system security parameters to prevent misuse 
. Removing all unnecessary functionality, such as scripts, drivers, features, subsystems, file systems, and unnecessary web servers. "
PCI 02.2.1,"PCI 02.2.1: Implement only one primary function per server to prevent functions that require different security levels from co-existing on the same server. (For example, web servers, database servers, and DNS should be implemented on separate servers.)","If server functions that need different security levels are located on the same server, the security level of the functions with higher security needs would be reduced due to the presence of the lower-security functions. Additionally, the server functions with a lower security level may introduce security weaknesses to other functions on the same server. By considering the security needs of different server functions as part of the system configuration standards and related processes, organizations can ensure that functions requiring different security levels don’t co-exist on the same server. ","2.2.1.a Select a sample of system components and inspect the system configurations to verify that only one primary function is implemented per server. 

2.2.1.b If virtualization technologies are used, inspect the system configurations to verify that only one primary function is implemented per virtual system component or device. "
PCI 02.2.2,"PCI 02.2.2: Enable only necessary services, protocols, daemons, etc., as required for the function of the system.","As stated in Requirement 1.1.6, there are many protocols that a business may need (or have enabled by default) that are commonly used by malicious individuals to compromise a network. Including this requirement as part of an organization's configuration standards and related processes ensures that only the necessary services and protocols are enabled. ","2.2.2.a Select a sample of system components and inspect enabled system services, daemons, and protocols to verify that only necessary services or protocols are enabled. 

2.2.2.b Identify any enabled insecure services, daemons, or protocols and interview personnel to verify they are justified 
per documented configuration standards. "
PCI 02.2.3,"PCI 02.2.3: Implement additional security features for any required services, protocols, or daemons that are considered to be insecure—for example, use secured technologies such as SSH, S-FTP, SSL, or IPSec VPN to protect insecure services such as NetBI","Enabling security features before new servers are deployed will prevent servers being installed into the environment with insecure configurations. 

Ensuring that all insecure services, protocols, and daemons are adequately secured with appropriate security features makes it more difficult for malicious individuals to take advantage of commonly used points of compromise within a network. ","2.2.3 Inspect configuration settings to verify that security features are documented and implemented for all insecure 
services, daemons, or protocols. "
PCI 02.2.4,PCI 02.2.4: Configure system security parameters to prevent misuse.,"System configuration standards and related processes should specifically address security settings and parameters that have known security implications for each type of system in use.

In order for systems to be configured securely, personnel responsible for configuration and/or administering systems must be knowledgeable in the specific security parameters and settings that apply to the system. ","2.2.4.a Interview system administrators and/or security managers to verify that they have knowledge of common security parameter settings for system components. 

2.2.4.b Examine the system configuration standards to verify that common security parameter settings are included. 

2.2.4.c Select a sample of system components and inspect the common security parameters to verify that they are set appropriately and in accordance with the configuration 
standards. 

"
PCI 02.2.5,"PCI 02.2.5: Remove all unnecessary functionality, such as scripts, drivers, features, subsystems, file systems, and unnecessary web servers.","Unnecessary functions can provide additional opportunities for malicious individuals to gain access to a system. By removing unnecessary functionality, organizations can focus on securing the functions that are required and reduce the risk that unknown functions will be exploited. 

Including this in server-hardening standards and processes addresses the specific security implications associated with unnecessary functions (for example, by removing/disabling FTP or the web server if the server will not be performing those functions). ","2.2.5.a Select a sample of system components and inspect the configurations to verify that all unnecessary functionality (for example, scripts, drivers, features, subsystems, file 
systems, etc.) is removed. 

2.2.5.b. Examine the documentation and security parameters to verify enabled functions are documented and support 
secure configuration. 

2.2.5.c. Examine the documentation and security parameters to verify that only documented functionality is present on the 
sampled system components. "
PCI 02.3,"PCI 02.3: Encrypt all non-console administrative access using strong cryptography. Use technologies such as SSH, VPN, or SSL/TLS for web-based management and other non-console administrative access.","If non-console (including remote) administration does not use secure authentication and encrypted communications, sensitive administrative or operational level information (like administrator’s IDs and passwords) can be revealed to an eavesdropper. A malicious individual could use this information to access the network, become administrator, and steal data. 

Clear-text protocols (such as HTTP, telnet, etc.) do not encrypt traffic or logon details, making it easy for an eavesdropper to intercept this information. 

To be considered “strong cryptography,” industryrecognized protocols with appropriate key strengths and key management should be in place as applicable for the type of technology in use. (Refer to ""strong cryptography” in the PCI DSS and PA-DSS Glossary of Terms, Abbreviations, and Acronyms.) ","2.3 Select a sample of system components and verify that non-console administrative access is encrypted by performing the 
following: 

2.3.a Observe an administrator log on to each system and examine system configurations to verify that a strong encryption method is invoked before the administrator’s 
password is requested. 

2.3.b Review services and parameter files on systems to determine that Telnet and other insecure remote-login commands are not available for non-console access. 

2.3.c Observe an administrator log on to each system to verify that administrator access to any web-based management interfaces is encrypted with strong cryptography. 

2.3.d Examine vendor documentation and interview personnel to verify that strong cryptography for the technology in use is implemented according to industry best 
practices and/or vendor recommendations. "
PCI 02.4,PCI 02.4: Maintain an inventory of system components that are in scope for PCI DSS.,"Maintaining a current list of all system 
components will enable an organization to accurately and efficiently define the scope of their environment for implementing PCI DSS controls. Without an inventory, some system components could be forgotten, and be inadvertently excluded from the organization’s configuration standards. ","2.4.a Examine system inventory to verify that a list of hardware and software components is maintained and includes a description of function/use for each. 

2.4.b Interview personnel to verify the documented inventory is kept current."
PCI 02.5,"PCI 02.5: Ensure that security policies and operational procedures for managing vendor defaults and other security parameters are documented, in use, and known to all affected parties.",Personnel need to be aware of and following security policies and daily operational procedures to ensure vendor defaults and other security parameters are continuously managed to prevent insecure configurations.,"2.5 Examine documentation and interview personnel to verify that security policies and operational procedures for managing 
vendor defaults and other security parameters are: 

. Documented, 
. In use, and 
. Known to all affected parties. "
PCI 02.6,PCI 02.6: Shared hosting providers must protect each entity’s hosted environment and cardholder data. These providers must meet specific requirements as detailed in Appendix A: Additional PCI DSS Requirements for Shared Hosting Providers.,"This is intended for hosting providers that provide shared hosting environments for multiple clients on the same server. When all data is on the same server and under control of a single environment, often the settings on these shared servers are not manageable by individual clients. This allows clients to add insecure functions and scripts that impact the security of all other client environments; and thereby make it easy for a malicious individual to compromise one client's data and thereby gain access to all other clients' data. See Appendix A for details of requirements.","2.6 Perform testing procedures A.1.1 through A.1.4 detailed in Appendix A: Additional PCI DSS Requirements for Shared Hosting Providers for PCI DSS assessments of shared hosting providers, to verify that shared hosting providers protect their entities’ (merchants and service providers) hosted environment 
and data."
PCI 03,PCI 03: Protect stored cardholder data,,
PCI 03.1,"PCI 03.1: Keep cardholder data storage to a minimum by implementing data retention and disposal policies, procedures and processes that include at least the following for all cardholder data (CHD) storage: . Limiting data storage amount and retention t...","A formal data retention policy identifies what data needs to be retained, and where that data resides so it can be securely destroyed or deleted as soon as it is no longer needed. 

The only cardholder data that may be stored after authorization is the primary account number or PAN (rendered unreadable), expiration date, cardholder name, and service code. 

Understanding where cardholder data is located is necessary so it can be properly retained or disposed of when no longer needed. In order to define appropriate retention requirements, an entity first needs to understand their own business needs as well as any legal or regulatory obligations that apply to their industry, and/or that apply to the type of data being retained. 

Identifying and deleting stored data that has exceeded its specified retention period prevents unnecessary retention of data that is no longer needed. This process may be automated or manual or a combination of both. For example, a programmatic proce-dure (automatic or manual) to locate and remove data and/or a manual review of data storage areas could be performed. 

Implementing secure deletion methods ensure that the data cannot be retrieved when it is no longer needed. 

Remember, if you don't need it, don't store it! ","3.1.a Examine the data retention and disposal policies, procedures and processes to verify they include at least the following: 

. Legal, regulatory, and business requirements for data retention, including 
. Specific requirements for retention of cardholder data (for example, cardholder data needs to be held for X period for Y business reasons). 
. Secure deletion of cardholder data when no longer needed for legal, regulatory, or business reasons 
. Coverage for all storage of cardholder data 
. A quarterly process for identifying and securely deleting stored cardholder data that exceeds defined retention requirements. 

3.1.b Interview personnel to verify that: 

. All locations of stored cardholder data are included in the data retention and disposal processes. 
. Either a quarterly automatic or manual process is in place to identify and securely delete stored cardholder data. 
. The quarterly automatic or manual process is performed for all locations of cardholder data. 

3.1.c For a sample of system components that store cardholder data: 

. Examine files and system records to verify that the data stored does not exceed the requirements defined in the data retention policy 
. Observe the deletion mechanism to verify data is deleted securely. "
PCI 03.2,"PCI 03.2: Do not store sensitive authentication data after authorization (even if encrypted). If sensitive authentication data is received, render all data unrecoverable upon completion of the authorization process. It is permissible for issuers and co","Sensitive authentication data consists of full track data, card validation code or value, and PIN data. Storage of sensitive authentication data after authorization is prohibited! This data is very valuable to malicious individuals as it allows them 
to generate counterfeit payment cards and create fraudulent transactions. 

Entities that issue payment cards or that perform or support issuing services will often create and control sensitive authentication data as part of the issuing function. It is allowable for companies that 
perform, facilitate, or support issuing services to store sensitive authentication data ONLY IF they have a legitimate business need to store such data. 

It should be noted that all PCI DSS requirements apply to issuers, and the only exception for issuers and issuer processors is that sensitive authentication data may be retained if there is a legitimate reason to do so. A legitimate reason is one that is necessary for the performance of the 
function being provided for the issuer and not one of convenience. Any such data must be stored securely and in accordance with all PCI DSS and specific payment brand requirements. 

For non-issuing entities, retaining sensitive 
authentication data post-authentication is not permitted.","3.2.a For issuers and/or companies that support issuing services and store sensitive authentication data, review policies and interview personnel to verify there is a documented business justification for the storage of sensitive authentication 
data.

3.2.b For issuers and/or companies that support issuing services and store sensitive authentication data, examine data stores and system configurations to verify that the sensitive authentication data is secured. 

3.2.c For all other entities, if sensitive authentication data is received, review policies and procedures, and examine system configurations to verify the data is not retained after authorization. 

3.2.d For all other entities, if sensitive authentication data is received, review procedures and examine the processes for securely deleting the data to verify that the data is unrecoverable. "
PCI 03.2.1,"PCI 03.2.1: Do not store the full contents of any track (from the magnetic stripe located on the back of a card, equivalent data contained on a chip, or elsewhere). This data is alternatively called full track, track, track 1, track 2, and magnetic-str...","If full track data is stored, malicious individuals who obtain that data can use it to reproduce payment cards and complete fraudulent transactions. 
","3.2.1 For a sample of system components, examine data sources including but not limited to the following, and verify that the full contents of any track from the magnetic stripe on the back of card or equivalent data on a chip are not stored after authorization: 

. Incoming transaction data 
. All logs (for example, transaction, history, debugging, error) 
. History files 
. Trace files 
. Several database schemas 
. Database contents. "
PCI 03.2.2,PCI 03.2.2: Do not store the card verification code or value (three-digit or four-digit number printed on the front or back of a payment card) used to verify card-not-present transactions.,"The purpose of the card validation code is to protect ""card-not-present"" transactions—Internet or mail order/telephone order (MO/TO) transactions—where the consumer and the card are not present. 

If this data is stolen, malicious individuals can execute fraudulent Internet and MO/TO transactions. ","3.2.2 For a sample of system components, examine data sources, including but not limited to the following, and verify that the three-digit or four-digit card verification code or value printed on the front of the card or the signature panel (CVV2, CVC2, CID, CAV2 data) is not stored after authorization: 

. Incoming transaction data 
. All logs (for example, transaction, history, debugging, error) 
. History files 
. Trace files 
. Several database schemas 
. Database contents. "
PCI 03.2.3,PCI 03.2.3: Do not store the personal identification number (PIN) or the encrypted PIN block.,"These values should be known only to the card owner or bank that issued the card. If this data is stolen, malicious individuals can execute fraudulent PIN-based debit transactions (for example, ATM withdrawals). ","3.2.3 For a sample of system components, examine data sources, including but not limited to the following and verify that PINs and encrypted PIN blocks are not stored after authorization: 

. Incoming transaction data 
. All logs (for example, transaction, history, debugging, error) 
. History files 
. Trace files 
. Several database schemas 
. Database contents. "
PCI 03.3,"PCI 03.3: Mask PAN when displayed (the first six and last four digits are the maximum number of digits to be displayed), such that only personnel with a legitimate business need can see the full PAN. 3.3: Mask PAN when displayed (the first six and last f","The display of full PAN on items such as computer screens, payment card receipts, faxes, or paper reports can result in this data being obtained by unauthorized individuals and used fraudulently. Ensuring that full PAN is only displayed for those with a legitimate business need to see the full PAN minimizes the risk of unauthorized persons gaining access to PAN data. 

This requirement relates to protection of PAN displayed on screens, paper receipts, printouts, etc., and is not to be confused with Requirement 3.4 for protection of PAN when stored in files, databases, etc. ","3.3.a Examine written policies and procedures for masking the display of PANs to verify: 

. A list of roles that need access to displays of full PAN is documented, together with a legitimate business need for each role to have such access. 
. PAN must be masked when displayed such that only personnel with a legitimate business need can see the full PAN. 
. All other roles not specifically authorized to see the full PAN must only see masked PANs. 

3.3.b Examine system configurations to verify that full PAN is only displayed for users/roles with a documented business need, and that PAN is masked for all other requests. 

3.3.c Examine displays of PAN (for example, on screen, on paper receipts) to verify that PANs are masked when displaying cardholder data, and that only those with a legitimate business need are able to see full PAN. "
PCI 03.4,"PCI 03.4: Render PAN unreadable anywhere it is stored (including on portable digital media, backup media, and in logs) by using any of the following approaches: . One-way hashes based on strong cryptography, (hash must be of the entire PAN) . Truncatio","PANs stored in primary storage (databases, or flat files such as text files spreadsheets) as well as non-primary storage (backup, audit logs, exception or troubleshooting logs) must all be protected. 

One-way hash functions based on strong cryptography can be used to render cardholder data unreadable. Hash functions are appropriate when there is no need to retrieve the original number (one-way hashes are irreversible). It is recommended, but not currently a requirement, that an additional, random input value be added to the cardholder data prior to hashing to reduce the feasibility of an attacker comparing the data against (and deriving the PAN from) tables of pre-computed hash values. 
The intent of truncation is that only a portion (not to exceed the first six and last four digits) of the PAN is stored. 
An index token is a cryptographic token that replaces the PAN based on a given index for an unpredictable value. A one-time pad is a system in which a randomly generated private key is used only once to encrypt a message that is then decrypted using a matching one-time pad and key. 

The intent of strong cryptography (as defined in the PCI DSS and PA-DSS Glossary of Terms, Abbreviations, and Acronyms) is that the encryption be based on an industry-tested and accepted algorithm (not a proprietary or ""home-grown"" algorithm) with strong cryptographic keys. 

By correlating hashed and truncated versions of a given PAN, a malicious individual may easily derive the original PAN value. Controls that prevent the correlation of this data will help ensure that the original PAN remains unreadable. ","3.4.a Examine documentation about the system used to protect the PAN, including the vendor, type of system/process, and the 
encryption algorithms (if applicable) to verify that the PAN is rendered unreadable using any of the following methods: 

. One-way hashes based on strong cryptography, 
. Truncation 
. Index tokens and pads, with the pads being securely stored 
. Strong cryptography, with associated key-management processes and procedures. 

3.4.b Examine several tables or files from a sample of data repositories to verify the PAN is rendered unreadable (that is, not stored in plain-text). 

3.4.c Examine a sample of removable media (for example, back-up tapes) to confirm that the PAN is rendered unreadable. 

3.4.d Examine a sample of audit logs to confirm that the PAN is rendered unreadable or removed from the logs. "
